"index","sex","given","l","m","s"
"wfa",1,226.5,-1.039168248,68.90653028,0.160342924
"wfa",1,227.5,-1.031579574,69.05176427,0.160234478
"wfa",1,228.5,-1.023291946,69.19467288,0.160138158
"wfa",1,229.5,-1.014385118,69.33527376,0.160056393
"wfa",1,230.5,-1.004952366,69.47351373,0.159992344
"wfa",1,231.5,-0.995101924,69.60925782,0.159949989
"wfa",1,232.5,-0.984958307,69.74227758,0.159934231
"wfa",1,233.5,-0.974663325,69.87223885,0.159951004
"wfa",1,234.5,-0.964376555,69.99868896,0.160007394
"wfa",1,235.5,-0.954274945,70.12104381,0.160111769
"wfa",1,236.5,-0.944551187,70.23857482,0.160273918
"wfa",1,237.5,-0.935410427,70.35039626,0.160505203
"wfa",1,238.5,-0.927059784,70.45546105,0.160818788
"wfa",1,239.5,-0.919718461,70.55252127,0.161229617
"wfa",2,0,1.509187507,3.39918645,0.142106724
"wfa",2,0.5,1.357944315,3.79752846,0.138075916
"wfa",2,1.5,1.105537708,4.544776513,0.131733888
"wfa",2,2.5,0.902596648,5.230584214,0.126892697
"wfa",2,3.5,0.734121414,5.859960798,0.123025182
"wfa",2,4.5,0.590235275,6.437587751,0.119840911
"wfa",2,5.5,0.464391566,6.967850457,0.117166868
"wfa",2,6.5,0.352164071,7.454854109,0.11489384
"wfa",2,7.5,0.250497889,7.902436186,0.112949644
"wfa",2,8.5,0.15724751,8.314178377,0.11128469
"wfa",2,9.5,0.070885725,8.693418423,0.109863709
"wfa",2,10.5,-0.00968493,9.043261854,0.10866078
"wfa",2,11.5,-0.085258,9.366593571,0.10765621
"wfa",2,12.5,-0.15640945,9.666089185,0.106834517
"wfa",2,13.5,-0.22355869,9.944226063,0.106183085
"wfa",2,14.5,-0.28701346,10.20329397,0.105691242
"wfa",2,15.5,-0.34699919,10.4454058,0.105349631
"wfa",2,16.5,-0.40368918,10.67250698,0.105149754
"wfa",2,17.5,-0.45721877,10.88638558,0.105083666
"wfa",2,18.5,-0.50770077,11.08868151,0.105143752
"wfa",2,19.5,-0.55523599,11.28089537,0.105322575
"wfa",2,20.5,-0.59992113,11.46439708,0.10561278
"wfa",2,21.5,-0.64185418,11.64043402,0.106007025
"wfa",2,22.5,-0.6811381,11.81013895,0.106497957
"wfa",2,23.5,-0.71788283,11.97453748,0.107078197
"wfa",2,24.5,-0.75220657,12.13455523,0.107740345
"wfa",2,25.5,-0.78423366,12.2910249,0.10847701
"wfa",2,26.5,-0.81409582,12.44469258,0.109280828
"wfa",2,27.5,-0.841935504,12.59622335,0.110144488
"wfa",2,28.5,-0.867889398,12.74620911,0.111060815
"wfa",2,29.5,-0.892102647,12.89517218,0.112022759
"wfa",2,30.5,-0.914718817,13.04357164,0.113023467
"wfa",2,31.5,-0.935876584,13.19180874,0.114056328
"wfa",2,32.5,-0.955723447,13.34022934,0.115114953
"wfa",2,33.5,-0.974383363,13.48913319,0.116193327
"wfa",2,34.5,-0.991980756,13.63877446,0.11728575
"wfa",2,35.5,-1.008640742,13.78936547,0.118386848
"wfa",2,36.5,-1.024471278,13.94108332,0.119491669
"wfa",2,37.5,-1.039573604,14.09407175,0.120595658
"wfa",2,38.5,-1.054039479,14.24844498,0.121694676
"wfa",2,39.5,-1.067946784,14.40429169,0.12278503
"wfa",2,40.5,-1.081374153,14.56167529,0.1238634
"wfa",2,41.5,-1.094381409,14.72064045,0.124926943
"wfa",2,42.5,-1.107021613,14.88121352,0.125973221
"wfa",2,43.5,-1.119338692,15.04340553,0.127000212
"wfa",2,44.5,-1.131367831,15.20721443,0.128006292
"wfa",2,45.5,-1.143135936,15.37262729,0.128990225
"wfa",2,46.5,-1.15466215,15.53962221,0.129951143
"wfa",2,47.5,-1.165958392,15.70817017,0.130888527
"wfa",2,48.5,-1.177029925,15.87823668,0.131802186
"wfa",2,49.5,-1.187871001,16.04978452,0.132692269
"wfa",2,50.5,-1.198484073,16.2227706,0.133559108
"wfa",2,51.5,-1.208853947,16.39715363,0.134403386
"wfa",2,52.5,-1.218965087,16.57289122,0.13522599
"wfa",2,53.5,-1.228798212,16.74994187,0.136028014
"wfa",2,54.5,-1.238330855,16.92826587,0.136810739
"wfa",2,55.5,-1.247537914,17.10782615,0.137575606
"wfa",2,56.5,-1.256392179,17.28858894,0.138324193
"wfa",2,57.5,-1.264864846,17.47052444,0.139058192
"wfa",2,58.5,-1.272926011,17.65360733,0.139779387
"wfa",2,59.5,-1.28054514,17.83781722,0.140489635
"wfa",2,60.5,-1.287691525,18.02313904,0.141190842
"wfa",2,61.5,-1.294332076,18.20956418,0.141884974
"wfa",2,62.5,-1.300441561,18.3970876,0.142573939
"wfa",2,63.5,-1.305989011,18.58571243,0.143259709
"wfa",2,64.5,-1.310946941,18.77544728,0.143944216
"wfa",2,65.5,-1.315289534,18.966307,0.144629359
"wfa",2,66.5,-1.318992925,19.15831267,0.14531699
"wfa",2,67.5,-1.322035315,19.35149163,0.146008903
"wfa",2,68.5,-1.324398133,19.54587708,0.146706813
"wfa",2,69.5,-1.326064539,19.74150854,0.147412363
"wfa",2,70.5,-1.327020415,19.93843145,0.148127109
"wfa",2,71.5,-1.327256387,20.13669623,0.148852482
"wfa",2,72.5,-1.326763834,20.33635961,0.149589838
"wfa",2,73.5,-1.325538668,20.53748298,0.1503404
"wfa",2,74.5,-1.323579654,20.74013277,0.151105277
"wfa",2,75.5,-1.320888012,20.94438028,0.151885464
"wfa",2,76.5,-1.317468695,21.15030093,0.152681819
"wfa",2,77.5,-1.313331446,21.35797332,0.15349505
"wfa",2,78.5,-1.308487081,21.56748045,0.154325756
"wfa",2,79.5,-1.302948173,21.77890902,0.155174414
"wfa",2,80.5,-1.296733913,21.99234686,0.15604132
"wfa",2,81.5,-1.289863329,22.20788541,0.156926667
"wfa",2,82.5,-1.282358762,22.4256177,0.157830504
"wfa",2,83.5,-1.274244931,22.64563824,0.158752743
"wfa",2,84.5,-1.265548787,22.86804258,0.159693163
"wfa",2,85.5,-1.256299378,23.09292679,0.16065141
"wfa",2,86.5,-1.24653066,23.32038549,0.161626956
"wfa",2,87.5,-1.236266832,23.55051871,0.162619308
"wfa",2,88.5,-1.225551344,23.78341652,0.1636276
"wfa",2,89.5,-1.214410914,24.01917703,0.1646511
"wfa",2,90.5,-1.202884389,24.25789074,0.165688808
"wfa",2,91.5,-1.191007906,24.49964778,0.166739662
"wfa",2,92.5,-1.178818621,24.74453536,0.167802495
"wfa",2,93.5,-1.166354376,24.99263735,0.168876037
"wfa",2,94.5,-1.153653688,25.24403371,0.169958922
"wfa",2,95.5,-1.140751404,25.49880264,0.171049756
"wfa",2,96.5,-1.127684095,25.7570168,0.172147043
"wfa",2,97.5,-1.114490244,26.01874261,0.173249185
"wfa",2,98.5,-1.101204848,26.28404312,0.174354569
"wfa",2,99.5,-1.087863413,26.55297507,0.175461512
"wfa",2,100.5,-1.074500927,26.82558904,0.176568284
"wfa",2,101.5,-1.061151213,27.1019295,0.177673124
"wfa",2,102.5,-1.047847141,27.38203422,0.178774242
"wfa",2,103.5,-1.034620551,27.66593402,0.179869829
"wfa",2,104.5,-1.021502197,27.9536524,0.180958063
"wfa",2,105.5,-1.008521695,28.24520531,0.182037118
"wfa",2,106.5,-0.995707494,28.54060085,0.183105172
"wfa",2,107.5,-0.983086844,28.83983907,0.18416041
"wfa",2,108.5,-0.970685789,29.14291171,0.185201039
"wfa",2,109.5,-0.958529157,29.44980208,0.186225287
"wfa",2,110.5,-0.946640568,29.76048479,0.187231416
"wfa",2,111.5,-0.935042447,30.0749257,0.188217723
"wfa",2,112.5,-0.923756041,30.39308176,0.18918255
"wfa",2,113.5,-0.912801445,30.71490093,0.190124286
"wfa",2,114.5,-0.902197638,31.0403221,0.191041375
"wfa",2,115.5,-0.891962513,31.36927506,0.191932319
"wfa",2,116.5,-0.882112919,31.7016805,0.192795682
"wfa",2,117.5,-0.872664706,32.03744999,0.193630095
"wfa",2,118.5,-0.863632768,32.37648607,0.19443426
"wfa",2,119.5,-0.855031092,32.71868225,0.195206948
"wfa",2,120.5,-0.846872805,33.06392318,0.195947008
"wfa",2,121.5,-0.839170224,33.4120847,0.196653365
"wfa",2,122.5,-0.831934903,33.76303402,0.197325023
"wfa",2,123.5,-0.825177688,34.1166299,0.197961065
"wfa",2,124.5,-0.818908758,34.47272283,0.198560655
"wfa",2,125.5,-0.813137675,34.83115524,0.199123037
"wfa",2,126.5,-0.807873433,35.19176177,0.199647538
"wfa",2,127.5,-0.803122613,35.55437176,0.200133598
"wfa",2,128.5,-0.79889771,35.91879976,0.200580618
"wfa",2,129.5,-0.795203499,36.28486194,0.200988216
"wfa",2,130.5,-0.792047959,36.65236365,0.201356017
"wfa",2,131.5,-0.789435274,37.02110818,0.201683791
"wfa",2,132.5,-0.787374433,37.39088668,0.201971282
"wfa",2,133.5,-0.785870695,37.76148905,0.202218375
"wfa",2,134.5,-0.784929893,38.1326991,0.202425006
"wfa",2,135.5,-0.784557605,38.50429603,0.202591183
"wfa",2,136.5,-0.78475917,38.87605489,0.20271698
"wfa",2,137.5,-0.785539703,39.24774707,0.202802535
"wfa",2,138.5,-0.786904102,39.61914076,0.202848049
"wfa",2,139.5,-0.788858208,39.98999994,0.202853758
"wfa",2,140.5,-0.791403051,40.36009244,0.202820053
"wfa",2,141.5,-0.794546352,40.72917544,0.202747236
"wfa",2,142.5,-0.79829102,41.09701099,0.202635758
"wfa",2,143.5,-0.802640891,41.46335907,0.202486098
"wfa",2,144.5,-0.807599577,41.82797963,0.202298783
"wfa",2,145.5,-0.813170461,42.19063313,0.202074385
"wfa",2,146.5,-0.819356692,42.55108107,0.201813521
"wfa",2,147.5,-0.826161176,42.90908653,0.201516851
"wfa",2,148.5,-0.833586038,43.2644155,0.201185082
"wfa",2,149.5,-0.841634949,43.61683402,0.200818928
"wfa",2,150.5,-0.850307441,43.9661169,0.200419208
"wfa",2,151.5,-0.859607525,44.31203579,0.199986681
"wfa",2,152.5,-0.869534339,44.65437319,0.199522233
"wfa",2,153.5,-0.880088651,44.99291356,0.199026736
"wfa",2,154.5,-0.891270585,45.32744704,0.198501096
"wfa",2,155.5,-0.903079458,45.65777013,0.197946255
"wfa",2,156.5,-0.915513542,45.98368656,0.197363191
"wfa",2,157.5,-0.928569454,46.30500858,0.196752931
"wfa",2,158.5,-0.942245864,46.62155183,0.196116472
"wfa",2,159.5,-0.956537923,46.93314404,0.19545489
"wfa",2,160.5,-0.971440492,47.23962058,0.194769279
"wfa",2,161.5,-0.986947308,47.54082604,0.194060758
"wfa",2,162.5,-1.003050887,47.83661466,0.193330477
"wfa",2,163.5,-1.019742425,48.12685082,0.192579614
"wfa",2,164.5,-1.037011698,48.41140938,0.191809374
"wfa",2,165.5,-1.054846957,48.69017613,0.191020995
"wfa",2,166.5,-1.073234825,48.9630481,0.190215739
"wfa",2,167.5,-1.092160195,49.22993391,0.189394901
"wfa",2,168.5,-1.111606122,49.49075409,0.188559804
"wfa",2,169.5,-1.131553723,49.74544132,0.187711798
"wfa",2,170.5,-1.151982079,49.99394068,0.186852266
"wfa",2,171.5,-1.172868141,50.23620985,0.185982617
"wfa",2,172.5,-1.19418462,50.47222213,0.185104331
"wfa",2,173.5,-1.215907492,50.70195581,0.184218803
"wfa",2,174.5,-1.238005268,50.92540942,0.183327556
"wfa",2,175.5,-1.260445591,51.14259229,0.182432113
"wfa",2,176.5,-1.283193626,51.3535268,0.181534018
"wfa",2,177.5,-1.306212032,51.55824831,0.180634839
"wfa",2,178.5,-1.329460945,51.75680513,0.179736168
"wfa",2,179.5,-1.35289798,51.94925841,0.178839614
"wfa",2,180.5,-1.376478254,52.13568193,0.177946804
"wfa",2,181.5,-1.400154426,52.31616197,0.177059379
"wfa",2,182.5,-1.423876772,52.49079703,0.17617899
"wfa",2,183.5,-1.447593267,52.65969757,0.175307296
"wfa",2,184.5,-1.471249702,52.82298572,0.174445958
"wfa",2,185.5,-1.494789826,52.9807949,0.173596636
"wfa",2,186.5,-1.518155513,53.13326946,0.172760982
"wfa",2,187.5,-1.541286949,53.28056425,0.17194064
"wfa",2,188.5,-1.564122852,53.42284417,0.171137232
"wfa",2,189.5,-1.586600712,53.5602837,0.170352363
"wfa",2,190.5,-1.608657054,53.69306637,0.169587605
"wfa",2,191.5,-1.630227728,53.82138422,0.168844497
"wfa",2,192.5,-1.651248208,53.94543725,0.168124538
"wfa",2,193.5,-1.67165392,54.06543278,0.167429179
"wfa",2,194.5,-1.691380583,54.18158486,0.166759816
"wfa",2,195.5,-1.710364557,54.29411356,0.166117788
"wfa",2,196.5,-1.728543207,54.40324431,0.165504365
"wfa",2,197.5,-1.745855274,54.50920717,0.164920747
"wfa",2,198.5,-1.762241248,54.61223603,0.164368054
"wfa",2,199.5,-1.777643747,54.71256787,0.16384732
"wfa",2,200.5,-1.792007891,54.81044184,0.163359491
"wfa",2,201.5,-1.805281675,54.90609842,0.162905415
"wfa",2,202.5,-1.817416335,54.99977846,0.162485839
"wfa",2,203.5,-1.828366707,55.09172217,0.162101402
"wfa",2,204.5,-1.838091576,55.18216811,0.161752634
"wfa",2,205.5,-1.846554015,55.271352,0.161439944
"wfa",2,206.5,-1.853721704,55.35950558,0.161163623
"wfa",2,207.5,-1.859567242,55.44685531,0.160923833
"wfa",2,208.5,-1.864068443,55.53362107,0.160720609
"wfa",2,209.5,-1.86720861,55.62001464,0.16055385
"wfa",2,210.5,-1.8689768,55.70623826,0.160423319
"wfa",2,211.5,-1.869371157,55.79247939,0.160328578
"wfa",2,212.5,-1.868386498,55.87892356,0.160269232
"wfa",2,213.5,-1.866033924,55.96573022,0.160244549
"wfa",2,214.5,-1.862327775,56.05304601,0.160253714
"wfa",2,215.5,-1.857289195,56.14099882,0.160295765
"wfa",2,216.5,-1.850946286,56.22969564,0.16036959
"wfa",2,217.5,-1.84333425,56.3192203,0.16047393
"wfa",2,218.5,-1.834495505,56.40963105,0.160607377
"wfa",2,219.5,-1.824479785,56.50095811,0.16076838
"wfa",2,220.5,-1.813344222,56.59320107,0.160955249
"wfa",2,221.5,-1.801153404,56.68632619,0.161166157
"wfa",2,222.5,-1.787979408,56.78026364,0.161399151
