"sex","lh","l","m","s","p_type","p_value"
"boys",71.5,-0.3521,8.7594,0.08248,"0.10th",6.862
"boys",71.6,-0.3521,8.7815,0.08249,"0.10th",6.879
"boys",71.7,-0.3521,8.8036,0.0825,"0.10th",6.897
"boys",71.8,-0.3521,8.8257,0.08252,"0.10th",6.913
"boys",71.9,-0.3521,8.8477,0.08253,"0.10th",6.93
"boys",72,-0.3521,8.8697,0.08254,"0.10th",6.948
"boys",72.1,-0.3521,8.8916,0.08256,"0.10th",6.964
"boys",72.2,-0.3521,8.9135,0.08257,"0.10th",6.981
"boys",72.3,-0.3521,8.9353,0.08259,"0.10th",6.998
"boys",72.4,-0.3521,8.9571,0.0826,"0.10th",7.015
"boys",72.5,-0.3521,8.9788,0.08262,"0.10th",7.031
"boys",72.6,-0.3521,9.0005,0.08263,"0.10th",7.048
"boys",72.7,-0.3521,9.0221,0.08264,"0.10th",7.065
"boys",72.8,-0.3521,9.0436,0.08266,"0.10th",7.081
"boys",72.9,-0.3521,9.0651,0.08267,"0.10th",7.098
"boys",73,-0.3521,9.0865,0.08269,"0.10th",7.114
"boys",73.1,-0.3521,9.1079,0.0827,"0.10th",7.131
"boys",73.2,-0.3521,9.1292,0.08272,"0.10th",7.147
"boys",73.3,-0.3521,9.1504,0.08273,"0.10th",7.164
"boys",73.4,-0.3521,9.1716,0.08274,"0.10th",7.18
"boys",73.5,-0.3521,9.1927,0.08276,"0.10th",7.196
"boys",73.6,-0.3521,9.2137,0.08277,"0.10th",7.212
"boys",73.7,-0.3521,9.2347,0.08278,"0.10th",7.228
"boys",73.8,-0.3521,9.2557,0.0828,"0.10th",7.245
"boys",73.9,-0.3521,9.2766,0.08281,"0.10th",7.261
"boys",74,-0.3521,9.2974,0.08283,"0.10th",7.277
"boys",74.1,-0.3521,9.3182,0.08284,"0.10th",7.293
"boys",74.2,-0.3521,9.339,0.08285,"0.10th",7.309
"boys",74.3,-0.3521,9.3597,0.08287,"0.10th",7.324
"boys",74.4,-0.3521,9.3803,0.08288,"0.10th",7.34
"boys",74.5,-0.3521,9.401,0.08289,"0.10th",7.356
"boys",74.6,-0.3521,9.4215,0.0829,"0.10th",7.372
"boys",74.7,-0.3521,9.442,0.08292,"0.10th",7.388
"boys",74.8,-0.3521,9.4625,0.08293,"0.10th",7.404
"boys",74.9,-0.3521,9.4829,0.08294,"0.10th",7.419
"boys",75,-0.3521,9.5032,0.08295,"0.10th",7.435
"boys",75.1,-0.3521,9.5235,0.08297,"0.10th",7.451
"boys",75.2,-0.3521,9.5438,0.08298,"0.10th",7.466
"boys",75.3,-0.3521,9.5639,0.08299,"0.10th",7.482
"boys",75.4,-0.3521,9.5841,0.083,"0.10th",7.497
"boys",75.5,-0.3521,9.6041,0.08301,"0.10th",7.513
"boys",75.6,-0.3521,9.6241,0.08302,"0.10th",7.528
"boys",75.7,-0.3521,9.644,0.08303,"0.10th",7.544
"boys",75.8,-0.3521,9.6639,0.08305,"0.10th",7.559
"boys",75.9,-0.3521,9.6836,0.08306,"0.10th",7.574
"boys",76,-0.3521,9.7033,0.08307,"0.10th",7.589
"boys",76.1,-0.3521,9.723,0.08307,"0.10th",7.604
"boys",76.2,-0.3521,9.7425,0.08308,"0.10th",7.619
"boys",76.3,-0.3521,9.762,0.08309,"0.10th",7.635
"boys",76.4,-0.3521,9.7814,0.0831,"0.10th",7.649
"boys",76.5,-0.3521,9.8007,0.08311,"0.10th",7.664
"boys",76.6,-0.3521,9.82,0.08312,"0.10th",7.679
"boys",76.7,-0.3521,9.8392,0.08312,"0.10th",7.694
"boys",76.8,-0.3521,9.8583,0.08313,"0.10th",7.709
"boys",76.9,-0.3521,9.8773,0.08314,"0.10th",7.724
"boys",77,-0.3521,9.8963,0.08314,"0.10th",7.738
"boys",77.1,-0.3521,9.9152,0.08315,"0.10th",7.753
"boys",77.2,-0.3521,9.9341,0.08315,"0.10th",7.768
"boys",77.3,-0.3521,9.9528,0.08316,"0.10th",7.782
"boys",77.4,-0.3521,9.9716,0.08316,"0.10th",7.797
"boys",77.5,-0.3521,9.9902,0.08317,"0.10th",7.811
"boys",77.6,-0.3521,10.0088,0.08317,"0.10th",7.826
"boys",77.7,-0.3521,10.0274,0.08317,"0.10th",7.84
"boys",77.8,-0.3521,10.0459,0.08318,"0.10th",7.855
"boys",77.9,-0.3521,10.0643,0.08318,"0.10th",7.869
"boys",78,-0.3521,10.0827,0.08318,"0.10th",7.883
"boys",78.1,-0.3521,10.1011,0.08318,"0.10th",7.898
"boys",78.2,-0.3521,10.1194,0.08318,"0.10th",7.912
"boys",78.3,-0.3521,10.1377,0.08318,"0.10th",7.926
"boys",78.4,-0.3521,10.1559,0.08318,"0.10th",7.941
"boys",78.5,-0.3521,10.1741,0.08318,"0.10th",7.955
"boys",78.6,-0.3521,10.1923,0.08317,"0.10th",7.969
